prime_or_scope,degrees,result,data_type,status,source
integral stable,0-83,"Complete additive stable homotopy groups, all primes and additive extensions.",complete consecutive range,peer-reviewed,Isaksen-Wang-Xu 2023; Burklund-Isaksen-Xu 2025
integral stable,84-90,"Exact in stems 87, 88, 89; explicit alternatives remain in stems 84, 85, 86, 90.",partial consecutive range,peer-reviewed base with audited uncertainties,IWX 2023; BIX 2025 corrections
3-primary stable,0-108,Complete p-local additive groups from the non-J table plus the all-dimensional image of J.,complete prime-local range,published/classical compilation,Tangora; Aubry; Ravenel 2026 Table A3.2
5-primary stable,through 999,"Ravenel table records all non-J classes/relations through stem 999; source question marks are preserved at 932, 933, 970, 971; add image J by closed formula.",large prime-local computation ledger,published digital monograph; four marked uncertainties/identification questions,Ravenel 2026 Table A3.3
all odd primes,all stems,The odd-primary image of J is cyclic of order p^(1+v_p(t)) in stem 2(p-1)t-1 and zero otherwise.,closed formula,theorem,Adams; Quillen; Sullivan
2-primary v1,all stems,"Full v1-periodic summands follow the 8-periodic bo/J pattern, with cyclic orders controlled by the 2-adic valuation in stems 8t-1.",closed formula,theorem,Adams; Mahowald; Davis-Mahowald; Ravenel
2-primary stable,126,"The class h_6^2 is claimed to survive, giving theta_6 and a Kervaire-invariant-one element in stem 126.",single high stem / exceptional class,preprint theorem as of 2026-08-08,"Lin-Wang-Xu, arXiv:2412.10879v2"
2-primary stable,"m+192k, 19 residues",125 explicit v_2^32-periodic families; seven simple order-4 families and four simple order-8 families; all tmf-invisible and detected by an Atkin-Lehner fixed-point spectrum.,periodic family catalog,"preprint, v2 current revision","Carrick-Davies, arXiv:2506.20507v2"
2-primary stable,"23,47,71,74,95,119,167 mod 192",Seven order-2 periodic families survive T(2)- and K(2)-localization.,periodic families,preprint,"Bhattacharya-Bobkova-Quigley, arXiv:2404.10062"
2-primary stable,"23,73,95,120,145 mod 192",Five simple eta-torsion families with trivial tmf Hurewicz image; additional tmf-detected families are proved simple eta-torsion.,periodic families and products,"preprint, current revision","Bobkova-Quigley, arXiv:2410.21181v3"
3-primary stable,"arbitrarily high, 144-periodic",Many products among divided beta families are nonzero; selected Toda brackets exclude zero; the connective height-two image-of-J spectrum j_2 detects the classes.,periodic products,"preprint, v3 revised 2026-08-03","Carrick-Davies, arXiv:2410.02564v3"
3-primary stable,"arbitrarily high, 144-periodic",Every fivefold product in the family beta_{1+9s} is nonzero and every sixfold product is zero; extensions to other families.,periodic product nilpotence,preprint,"Davies, arXiv:2511.02324"
5-primary stable,powers in stem multiples of 38,beta_1^17 is nonzero and beta_1^18 is killed by d_33(gamma_3); consequently V(3) does not exist and V(2) is not a ring spectrum at p=5.,ring structure / chromatic consequence,theorem in 2026 monograph,"Ravenel 2026, Theorem 7.6.1"
2-primary Adams,h_j^3 for j>=6,A uniform d_4 differential kills the h_j^3 family; h_j^2 survives to E_5.,infinite Adams differential family,peer-reviewed 2025,"Burklund-Xu, Inventiones Mathematicae"
2-primary Adams,e-family,The New Doomsday conjecture is established for the e-family on the Adams 4-line using the Burklund-Xu spectral sequence and Bruner formulas.,infinite Adams differential family,peer-reviewed/electronic publication 2026,"Guchuan Li-Yunze Li, Proc. AMS"
chromatic localization,"all primes, heights n>=2",T(n)- and K(n)-localization are claimed not to agree: counterexamples to the telescope conjecture at every prime and every height at least two.,global structural theorem,preprint theorem,"Burklund-Hahn-Levy-Schlank, arXiv:2310.17459"
stable asymptotics,n -> infinity,The p-exponent grows sublinearly; the Adams E_2 p-rank has exp(Theta((log n)^3)) growth; stable stems admit the first general subexponential size bound.,asymptotic theorem,preprint/published components as cited,"Burklund-Senger, arXiv:2203.00670"
unstable integral,"k<=20, all sphere dimensions","All groups pi_{n+k}(S^n), all primes and extensions, are completely determined.",complete unstable range,classical published,Toda 1962; Mimura-Toda 1963
unstable 2-primary,"k<=32, all sphere dimensions",Complete all-sphere 2-primary groups through the 32-stem after later corrections.,complete prime-local unstable range,published,Mimura; Mimura-Mori-Oda; Oda; Inoue-Mukai; Miyauchi-Mukai
unstable 2-primary,k=33,"Known for n=2,...,9 and n>=28; n=10,...,26 unresolved; n=27 is source-internally inconsistent. Three 2026 groups: pi_39(S^6)_2=Z/4+(Z/2)^6, pi_40(S^7)_2=Z/4+(Z/2)^4, pi_41(S^8)_2=Z/8+Z/4+(Z/2)^6.",partial unstable stem,published/preprint source as cited,Yang-Wu 2026 and predecessors
unstable 3-primary,k<80 (Toda convention),Complete prime-local tables across all sphere dimensions in the stated range.,complete prime-local unstable range,published monograph,Toda 2003
unstable all primes,all m>=2 for S^2 and m>=3 for S^3,No positive-degree unstable homotopy group of S^2 or S^3 vanishes.,global nonvanishing theorem,published,Ivanov-Mikhailov-Wu; Hopf fibration transfer to S^3
