name,area,statement,status_2026,credibility_or_evidence,source,source_url
Curtis conjecture,Hurewicz image,"At p=2, the positive-dimensional spherical classes in H_*(Q_0 S^0;F_2) are exactly those arising from Hopf-invariant-one and Kervaire-invariant-one elements.",open; substantial partial vanishing results,Compatible with all computed stems and filtration restrictions; strongest classical spherical-class prediction.,"Curtis; Wellington; later work of Hung, Zare, Eccles",https://arxiv.org/abs/1609.03143
Eccles conjecture,Hurewicz image of QX,"For connected X, a positive-dimensional spherical class in H_*QX is either stably spherical or comes from a stable map detected by a primary operation in its mapping cone.",open in general; verified in selected loop spaces,Generalizes the Hopf/Kervaire detection philosophy.,Eccles; expositions and partial verifications by Zare,https://arxiv.org/abs/1609.03143
Lannes-Zarati algebraic spherical-class conjecture,Adams filtration/Hurewicz,The s-th Lannes-Zarati homomorphism vanishes in every positive stem for s>2.,open; proved in families and ranges,Algebraic shadow of the Curtis conjecture; known nonzero cases occur in filtrations 1 and 2.,Lannes-Zarati; Hung and collaborators,https://doi.org/10.1016/j.crma.2014.02.005
Freyd generating hypothesis,finite stable homotopy category,A map of finite spectra inducing zero on all stable homotopy groups is null.,open globally; false in several localized/analogous categories,Would make pi_* faithful on finite spectra; resisted all known approaches.,Freyd 1966,https://math.uchicago.edu/~may/PAPERS/FreydConFinal3.pdf
New Doomsday conjecture,Adams spectral sequence,Every nontrivial Sq^0-family in the mod-2 Adams E_2-page has only finitely many members that survive to E_infinity.,open in general; established for major low-filtration families including the e-family,Doomsday differentials on h_j^3 and the 2026 e-family theorem support it.,Minami; Burklund-Xu; Li-Li,https://www.ams.org/journals/proc/0000-000-00/S0002-9939-2026-17823-1/S0002-9939-2026-17823-1.pdf
Ravenel odd-primary EHP birth conjecture (Conj. 1.5.20),unstable EHP,"Predicts the sphere of origin, EHP differentials, and Hopf invariants for divided alpha-family classes.",not correct verbatim; Ravenel records an explicit p=3 exception; viable only after refinement,Organizes extensive EHP data but requires exceptions.,"Ravenel 2026, Conjecture 1.5.20",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Ravenel EHP differential conjecture for eta_j (Conj. 1.5.26),unstable EHP,"For k=(2s+1)2^{j-2}, s>0, the predicted EHP differential d_{2^j-2}(nu)=eta_j occurs.",open in stated generality,Fits Mahowald-style EHP patterns.,"Ravenel 2026, Conjecture 1.5.26",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Kervaire EHP-pattern conjecture (Ravenel Conj. 1.5.27),unstable EHP/Kervaire,Predicts EHP behavior and spheres of origin for Kervaire classes theta_j.,"existence portion settled/refuted by dimension (theta_1...theta_6 only, with theta_6 currently a preprint theorem); differential pattern remains partly open",Low cases and classical EHP calculations.,Ravenel 2026; HHR; Lin-Wang-Xu,https://arxiv.org/abs/2412.10879
Mahowald invariant of Kervaire classes,Mahowald invariant,M(theta_j) contains theta_{j+1} whenever both classes exist.,meaningful only for existing consecutive classes; partially verified,Root-invariant and EHP calculations in low dimensions.,"Ravenel 2026, Conjecture 1.5.32",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Chromatic Mahowald/root-invariant conjecture,chromatic families,"When consecutive Greek-letter classes alpha_j^(n) and alpha_j^(n+1) exist, the higher-height class lies in the Mahowald invariant of the lower-height class.",open; many low-height examples and motivic/root-invariant calculations,Captures observed redshift of root invariants.,"Ravenel 2026, Conjecture 1.5.33",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Ravenel beta_1 exponent conjecture at p>=7 (Conj. 7.6.2),odd-primary stable ring,"beta_1^{p^2-p} is nonzero, beta_1^{p^2-p+1}=0, with a specified higher Toda bracket producing beta_1^{(2p-1)(p-1)/2}.",open for p>=7; p=5 analogue computed with beta_1^17 nonzero and beta_1^18 killed,Fits the complete p=5 calculation and chromatic heuristics.,"Ravenel 2026, Conjecture 7.6.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Chromatic splitting conjecture - weak form,K(n)-local sphere,"For finite p-complete X, L_{n-1}X -> L_{n-1}L_{K(n)}X is split monic.",open in general; known at n=1 and several height-2 odd-prime cases,Survives after stronger decompositional forms fail.,Hopkins/Hovey; Henn and collaborators,https://math.bu.edu/people/jsweinst/chromatic.pdf
Chromatic splitting conjecture - strongest classical decomposition,K(n)-local sphere,A precise wedge decomposition of lower chromatic localizations of the K(n)-local sphere.,false at n=p=2; refined variants remain open,Beaudry produced a contradiction to the strongest Hovey formulation.,Beaudry 2015,https://arxiv.org/abs/1502.02190
