stem,non_J_elements_and_relations_source_transcription,contains_source_question_mark,status,source,source_url,transcription_note
38,β1,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
45,α1 β1,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
76,β12,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
83,α1 β12,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
86,β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
93,α1 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
114,β13,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
121,α1 β13,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
124,β1 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
131,α1 β1 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
